coach_type,phase,section,task
Sleeper,Completion,Coach Build,Doors -  Door Kick Plate
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Doors -  Door Kick Plate
Diner,Completion,Coach Build,Doors -  Door Pull Handles: (Bow Type)
Kitchen,Completion,Coach Build,Doors -  Door Pull Handles: (Bow Type)
Diner,Completion,Coach Build,Doors -  Escutcheons
Kitchen,Completion,Coach Build,Doors -  Escutcheons
Motor,Completion,Coach Build,Doors -  Mini Gu mmie - Motor
Motor,Completion,Coach Build,Doors -  Sliding Door Drop Window
Baggage Van,Completion,Coach Build,Doors -  Vestibule Exit Door (Including  Window & Rubber)
Diner,Completion,Coach Build,Doors -  Vestibule Exit Door (Including  Window & Rubber)
Kitchen,Completion,Coach Build,Doors -  Vestibule Exit Door (Including  Window & Rubber)
Sitter,Completion,Coach Build,Doors -  Vestibule Exit Door (Including  Window & Rubber)
Sleeper,Completion,Coach Build,Doors -  Vestibule Exit Door (Including  Window & Rubber)
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Doors -  Vestibule Exit Door (Including  Window & Rubber)
Motor,Completion,Coach Build,Doors - Barrel Bolt - Fit 
Sleeper,Completion,Coach Build,Doors - Compartment Sliding Door Complete - Refurbish
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Doors - Compartment Sliding Door Complete - Refurbish
Baggage Van,Completion,Coach Build,"Doors - Db, Broom & Compartment Doors - "
Diner,Completion,Coach Build,"Doors - Db, Broom & Compartment Doors - "
Kitchen,Completion,Coach Build,"Doors - Db, Broom & Compartment Doors - "
Sitter,Completion,Coach Build,"Doors - Db, Broom & Compartment Doors - "
Sleeper,Completion,Coach Build,"Doors - Db, Broom & Compartment Doors - "
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,"Doors - Db, Broom & Compartment Doors - "
Baggage Van,Completion,Coach Build,Doors - Door Controllers -  - (Vestibule Door)
Diner,Completion,Coach Build,Doors - Door Controllers -  - (Vestibule Door)
Kitchen,Completion,Coach Build,Doors - Door Controllers -  - (Vestibule Door)
Sitter,Completion,Coach Build,Doors - Door Controllers -  - (Vestibule Door)
Sleeper,Completion,Coach Build,Doors - Door Controllers -  - (Vestibule Door)
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Doors - Door Controllers -  - (Vestibule Door)
Motor,Completion,Coach Build,Doors - End Door System  Fit
Motor,Completion,Coach Build,Doors - Fit  Outside Sliding Door Leaves
Sleeper,Completion,Coach Build,Doors - Fit  Shower Door - Internal
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Doors - Fit  Shower Door - Internal
Baggage Van,Completion,Coach Build,Doors - Fit  Sliding Door 
KP-1 to Car Carrier,Completion,Coach Build,Doors - Fit  Sliding Door 
Power Car,Completion,Coach Build,Doors - Fit  Sliding Door 
Baggage Van,Completion,Coach Build,Doors - Fit  Weather Strip
Diner,Completion,Coach Build,Doors - Fit  Weather Strip
Kitchen,Completion,Coach Build,Doors - Fit  Weather Strip
KP-1 to Car Carrier,Completion,Coach Build,Doors - Fit  Weather Strip
Sitter,Completion,Coach Build,Doors - Fit  Weather Strip
Sleeper,Completion,Coach Build,Doors - Fit  Weather Strip
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Doors - Fit  Weather Strip
Baggage Van,Completion,Coach Build,Doors - Fit Door Stops
Diner,Completion,Coach Build,Doors - Fit Door Stops
Kitchen,Completion,Coach Build,Doors - Fit Door Stops
Motor,Completion,Coach Build,Doors - Fit Door Stops
Sitter,Completion,Coach Build,Doors - Fit Door Stops
Sleeper,Completion,Coach Build,Doors - Fit Door Stops
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Doors - Fit Door Stops
Motor,Completion,Coach Build,Doors - Fit Doors
Baggage Van,Completion,Coach Build,Doors - Fit Doors Hinged Interior 
Diner,Completion,Coach Build,Doors - Fit Doors Hinged Interior 
Kitchen,Completion,Coach Build,Doors - Fit Doors Hinged Interior 
Sitter,Completion,Coach Build,Doors - Fit Doors Hinged Interior 
Sleeper,Completion,Coach Build,Doors - Fit Doors Hinged Interior 
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Doors - Fit Doors Hinged Interior 
Baggage Van,Completion,Coach Build,Doors - Fit Doors Hinged Spring Loaded
Diner,Completion,Coach Build,Doors - Fit Doors Hinged Spring Loaded
Kitchen,Completion,Coach Build,Doors - Fit Doors Hinged Spring Loaded
Sitter,Completion,Coach Build,Doors - Fit Doors Hinged Spring Loaded
Sleeper,Completion,Coach Build,Doors - Fit Doors Hinged Spring Loaded
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Doors - Fit Doors Hinged Spring Loaded
Baggage Van,Completion,Coach Build,Doors - Fit Lock Mortice
Kitchen,Completion,Coach Build,Doors - Fit Lock Mortice
Sitter,Completion,Coach Build,Doors - Fit Lock Mortice
Sleeper,Completion,Coach Build,Doors - Fit Lock Mortice
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Doors - Fit Lock Mortice
Baggage Van,Completion,Coach Build,"Doors - Fit Lock Toilet, Shower, Communication Door Comp."
Sitter,Completion,Coach Build,"Doors - Fit Lock Toilet, Shower, Communication Door Comp."
Sleeper,Completion,Coach Build,"Doors - Fit Lock Toilet, Shower, Communication Door Comp."
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,"Doors - Fit Lock Toilet, Shower, Communication Door Comp."
Baggage Van,Completion,Coach Build,Doors - Fit Lock Vestibule Side Door Complete With Striking Plates
Diner,Completion,Coach Build,Doors - Fit Lock Vestibule Side Door Complete With Striking Plates
Kitchen,Completion,Coach Build,Doors - Fit Lock Vestibule Side Door Complete With Striking Plates
Sitter,Completion,Coach Build,Doors - Fit Lock Vestibule Side Door Complete With Striking Plates
Sleeper,Completion,Coach Build,Doors - Fit Lock Vestibule Side Door Complete With Striking Plates
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Doors - Fit Lock Vestibule Side Door Complete With Striking Plates
Baggage Van,Completion,Coach Build,Doors - Fit Locks To Vestibule Doors
Diner,Completion,Coach Build,Doors - Fit Locks To Vestibule Doors
Kitchen,Completion,Coach Build,Doors - Fit Locks To Vestibule Doors
Sitter,Completion,Coach Build,Doors - Fit Locks To Vestibule Doors
Sleeper,Completion,Coach Build,Doors - Fit Locks To Vestibule Doors
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Doors - Fit Locks To Vestibule Doors
Baggage Van,Completion,Coach Build,Doors - Fit Reclaimed Doors (Baggage Van)
KP-1 to Car Carrier,Completion,Coach Build,Doors - Fit Reclaimed Doors (Baggage Van)
Power Car,Completion,Coach Build,Doors - Fit Reclaimed Doors (Baggage Van)
Motor,Completion,Coach Build,Doors - Fit Steps
Baggage Van,Completion,Coach Build,Doors - Fit Toilet & Shower External Door
Sitter,Completion,Coach Build,Doors - Fit Toilet & Shower External Door
Sleeper,Completion,Coach Build,Doors - Fit Toilet & Shower External Door
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Doors - Fit Toilet & Shower External Door
Baggage Van,Completion,Coach Build,Doors - Guard Door Window Modify To Glazing Rubber
Motor,Completion,Coach Build,Doors - Hinged Doors - External - 
Sitter,Completion,Coach Build,"Doors - Indicator Lock Toilet, Shower Door - "
Sleeper,Completion,Coach Build,"Doors - Indicator Lock Toilet, Shower Door - "
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,"Doors - Indicator Lock Toilet, Shower Door - "
Baggage Van,Completion,Coach Build,Doors - Lock Guard Door Complete
Baggage Van,Completion,Coach Build,Doors - Lock Mortice End Door Complete - 
Baggage Van,Completion,Coach Build,Doors - Locks (Specify which type and  where installed)
Diner,Completion,Coach Build,Doors - Locks (Specify which type and  where installed)
Kitchen,Completion,Coach Build,Doors - Locks (Specify which type and  where installed)
Motor,Completion,Coach Build,Doors - Locks (Specify which type and  where installed)
Sitter,Completion,Coach Build,Doors - Locks (Specify which type and  where installed)
Sleeper,Completion,Coach Build,Doors - Locks (Specify which type and  where installed)
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Doors - Locks (Specify which type and  where installed)
Baggage Van,Completion,Coach Build,Doors - Mainline Intermediate Door LH;RH
Diner,Completion,Coach Build,Doors - Mainline Intermediate Door LH;RH
Kitchen,Completion,Coach Build,Doors - Mainline Intermediate Door LH;RH
Sitter,Completion,Coach Build,Doors - Mainline Intermediate Door LH;RH
Sitter,Completion,Coach Build,Doors - Mainline Sliding Door End LH;RH (Electronic Controlled)
Sleeper,Completion,Coach Build,Doors - Mainline Sliding Door End LH;RH (Electronic Controlled)
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Doors - Mainline Sliding Door End LH;RH (Electronic Controlled)
Motor,Completion,Coach Build,Doors - Manufacture & Fit Full Canopy
Motor,Completion,Coach Build,Doors - Outside Sliders
KP-1 to Car Carrier,Completion,Coach Build,Doors - Roll Up Door
Baggage Van,Completion,Coach Build,Doors - Sill Plate - To Fit End Door
Diner,Completion,Coach Build,Doors - Sill Plate - To Fit End Door
Kitchen,Completion,Coach Build,Doors - Sill Plate - To Fit End Door
Motor,Completion,Coach Build,Doors - Sill Plate - To Fit End Door
Sitter,Completion,Coach Build,Doors - Sill Plate - To Fit End Door
Sleeper,Completion,Coach Build,Doors - Sill Plate - To Fit End Door
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Doors - Sill Plate - To Fit End Door
Motor,Completion,Coach Build,Doors Outside Sliding Door Leaves
Baggage Van,Completion,Coach Build,Doors Vestibule Exit Door (Including  Window & Rubber)
Diner,Completion,Coach Build,Doors Vestibule Exit Door (Including  Window & Rubber)
Kitchen,Completion,Coach Build,Doors Vestibule Exit Door (Including  Window & Rubber)
Sitter,Completion,Coach Build,Doors Vestibule Exit Door (Including  Window & Rubber)
Sleeper,Completion,Coach Build,Doors Vestibule Exit Door (Including  Window & Rubber)
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Doors Vestibule Exit Door (Including  Window & Rubber)
Motor,Completion,Coach Build,Emergency Equipment - Fire Protection/ Emergency Equipment
Motor,Completion,Coach Build,Fit Doors Cab Doors
Motor,Completion,Coach Build,Fit Doors End Door
Baggage Van,Completion,Coach Build,Fit Doors Hinge Swing Loading Doors
KP-1 to Car Carrier,Completion,Coach Build,Fit Doors Hinge Swing Loading Doors
Power Car,Completion,Coach Build,Fit Doors Hinge Swing Loading Doors
Kitchen,Completion,Coach Build,Heating & Ventilation -  Extractor Canopy In Kitchen
Diner,Completion,Coach Build,Heating & Ventilation - Air Conditioning Unit -  (Fit To Roof Interior)
Sitter,Completion,Coach Build,Heating & Ventilation - Air Conditioning Unit -  (Fit To Roof Interior)
Sleeper,Completion,Coach Build,Heating & Ventilation - Air Conditioning Unit -  (Fit To Roof Interior)
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Heating & Ventilation - Air Conditioning Unit -  (Fit To Roof Interior)
Diner,Completion,Coach Build,Heating & Ventilation - Fit  Louvers In Corridor For Dining Car Bar Fridges
Kitchen,Completion,Coach Build,Heating & Ventilation - Fit  Louvers In Corridor/Scullery For Kitchen Car Fridges
Diner,Completion,Coach Build,Heating & Ventilation - Fit Fresh Air Kit In Dining Car
Baggage Van,Completion,Coach Build,Heating & Ventilation - Fit Iceiling Ventilator Grill
Diner,Completion,Coach Build,Heating & Ventilation - Fit Iceiling Ventilator Grill
Kitchen,Completion,Coach Build,Heating & Ventilation - Fit Iceiling Ventilator Grill
Power Car,Completion,Coach Build,Heating & Ventilation - Fit Iceiling Ventilator Grill
Sitter,Completion,Coach Build,Heating & Ventilation - Fit Iceiling Ventilator Grill
Sleeper,Completion,Coach Build,Heating & Ventilation - Fit Iceiling Ventilator Grill
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Heating & Ventilation - Fit Iceiling Ventilator Grill
Baggage Van,Completion,Coach Build,Heating & Ventilation - Fit Ventilator Grill Sleeve
Diner,Completion,Coach Build,Heating & Ventilation - Fit Ventilator Grill Sleeve
Kitchen,Completion,Coach Build,Heating & Ventilation - Fit Ventilator Grill Sleeve
Power Car,Completion,Coach Build,Heating & Ventilation - Fit Ventilator Grill Sleeve
Sitter,Completion,Coach Build,Heating & Ventilation - Fit Ventilator Grill Sleeve
Sleeper,Completion,Coach Build,Heating & Ventilation - Fit Ventilator Grill Sleeve
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Heating & Ventilation - Fit Ventilator Grill Sleeve
Power Car,Completion,Coach Build,Heating & Ventilation - Receiver External
Power Car,Completion,Coach Build,Heating & Ventilation - Vent Air Breather
Motor,Completion,Coach Build,Interior Trim -  Grab Poles
Motor,Completion,Coach Build,Interior Trim -  Strap Hangers
Motor,Completion,Coach Build,Interior Trim -  Vestibule Partition/Grab Pole Design
Motor,Completion,Coach Build,Interior Trim - Driver?S Seat 
Motor,Completion,Coach Build,Interior Trim - Driver?S Seat 
Motor,Completion,Coach Build,Interior Trim - Interior Trim/Fittings
Motor,Completion,Coach Build,Interior Trim - Motor Coach (2 - Door) Fitment Of 10M Coach Saloon Interior [Metro Plus]
Motor,Completion,Coach Build,Interior Trim - Motor Coach (2 - Door) Fitment Of 10M Coach Saloon Interior [Metro]
Motor,Completion,Coach Build,Interior Trim - Passenger Parcel Racks Fit 
Motor,Completion,Coach Build,Interior Trim - Passenger Parcel Racks Refurbish
Motor,Completion,Coach Build,Interior Trim - Seats & Backs Metro ( Type) 
Motor,Completion,Coach Build,Interior Trim - Seats & Backs Metro Plus 
Motor,Completion,Coach Build,Interior Trim - Seats Metro Plus Tear Proof Trim
Motor,Completion,Coach Build,Interior Trim - Siren Bracket ? Remove (Not Cape)
Motor,Completion,Coach Build,Interior Trim - Strap Hanger & Grab Poles 
Motor,Completion,Coach Build,Interior Trim - Sunvisor Driver?S - 
Motor,Completion,Coach Build,Interior Trim - Sunvisor Driver'S - Refurbish
Baggage Van,Completion,Coach Build,"Interior Trim/Fittings-  Aluminium Mouldings (Sides, Ends) & (Compartments, Corridors)"
Diner,Completion,Coach Build,"Interior Trim/Fittings-  Aluminium Mouldings (Sides, Ends) & (Compartments, Corridors)"
Kitchen,Completion,Coach Build,"Interior Trim/Fittings-  Aluminium Mouldings (Sides, Ends) & (Compartments, Corridors)"
KP-1 to Car Carrier,Completion,Coach Build,"Interior Trim/Fittings-  Aluminium Mouldings (Sides, Ends) & (Compartments, Corridors)"
Power Car,Completion,Coach Build,"Interior Trim/Fittings-  Aluminium Mouldings (Sides, Ends) & (Compartments, Corridors)"
Sitter,Completion,Coach Build,"Interior Trim/Fittings-  Aluminium Mouldings (Sides, Ends) & (Compartments, Corridors)"
Sleeper,Completion,Coach Build,"Interior Trim/Fittings-  Aluminium Mouldings (Sides, Ends) & (Compartments, Corridors)"
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,"Interior Trim/Fittings-  Aluminium Mouldings (Sides, Ends) & (Compartments, Corridors)"
Baggage Van,Completion,Coach Build,Interior Trim/Fittings-  Aluminium Mouldings Roof (All Types)
Diner,Completion,Coach Build,Interior Trim/Fittings-  Aluminium Mouldings Roof (All Types)
Kitchen,Completion,Coach Build,Interior Trim/Fittings-  Aluminium Mouldings Roof (All Types)
KP-1 to Car Carrier,Completion,Coach Build,Interior Trim/Fittings-  Aluminium Mouldings Roof (All Types)
Power Car,Completion,Coach Build,Interior Trim/Fittings-  Aluminium Mouldings Roof (All Types)
Sitter,Completion,Coach Build,Interior Trim/Fittings-  Aluminium Mouldings Roof (All Types)
Sleeper,Completion,Coach Build,Interior Trim/Fittings-  Aluminium Mouldings Roof (All Types)
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Interior Trim/Fittings-  Aluminium Mouldings Roof (All Types)
Diner,Completion,Coach Build,Interior Trim/Fittings-  Cabin Hook & Eye
Kitchen,Completion,Coach Build,Interior Trim/Fittings-  Cabin Hook & Eye
KP-1 to Car Carrier,Completion,Coach Build,Interior Trim/Fittings-  Chocks
Diner,Completion,Coach Build,Interior Trim/Fittings-  Coat Hooks
Kitchen,Completion,Coach Build,Interior Trim/Fittings-  Coat Hooks
Baggage Van,Completion,Coach Build,Interior Trim/Fittings - Fit Toilet Floor Pan - 
Sitter,Completion,Coach Build,Interior Trim/Fittings - Fit Toilet Floor Pan - 
Sleeper,Completion,Coach Build,Interior Trim/Fittings - Fit Toilet Floor Pan - 
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Interior Trim/Fittings - Fit Toilet Floor Pan - 
Baggage Van,Completion,Coach Build,Interior Trim/Fittings-  Floors Complete (Including Marley & Flashing)
Diner,Completion,Coach Build,Interior Trim/Fittings-  Floors Complete (Including Marley & Flashing)
Kitchen,Completion,Coach Build,Interior Trim/Fittings-  Floors Complete (Including Marley & Flashing)
Sitter,Completion,Coach Build,Interior Trim/Fittings-  Floors Complete (Including Marley & Flashing)
Sleeper,Completion,Coach Build,Interior Trim/Fittings-  Floors Complete (Including Marley & Flashing)
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Interior Trim/Fittings-  Floors Complete (Including Marley & Flashing)
Diner,Completion,Coach Build,Interior Trim/Fittings-  Hasp & Staple
Kitchen,Completion,Coach Build,Interior Trim/Fittings-  Hasp & Staple
Diner,Completion,Coach Build,Interior Trim/Fittings-  Sst Work Top & Basin In Bar Area
Kitchen,Completion,Coach Build,"Interior Trim/Fittings-  Sst Work Top & Basin,Drawers,Racks,Covers & Bacsplashes In Kitchen"
Baggage Van,Completion,Coach Build,Interior Trim/Fittings- Assemble Fire Extinguisher Station (Strap & Partition)
Diner,Completion,Coach Build,Interior Trim/Fittings- Assemble Fire Extinguisher Station (Strap & Partition)
Kitchen,Completion,Coach Build,Interior Trim/Fittings- Assemble Fire Extinguisher Station (Strap & Partition)
KP-1 to Car Carrier,Completion,Coach Build,Interior Trim/Fittings- Assemble Fire Extinguisher Station (Strap & Partition)
Power Car,Completion,Coach Build,Interior Trim/Fittings- Assemble Fire Extinguisher Station (Strap & Partition)
Sitter,Completion,Coach Build,Interior Trim/Fittings- Assemble Fire Extinguisher Station (Strap & Partition)
Sleeper,Completion,Coach Build,Interior Trim/Fittings- Assemble Fire Extinguisher Station (Strap & Partition)
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Interior Trim/Fittings- Assemble Fire Extinguisher Station (Strap & Partition)
Baggage Van,Completion,Coach Build,Interior Trim/Fittings- Baggage Compartment Equipment
Baggage Van,Completion,Coach Build,Interior Trim/Fittings- Body Side & Ceiling Insulation
Diner,Completion,Coach Build,Interior Trim/Fittings- Body Side & Ceiling Insulation
Kitchen,Completion,Coach Build,Interior Trim/Fittings- Body Side & Ceiling Insulation
KP-1 to Car Carrier,Completion,Coach Build,Interior Trim/Fittings- Body Side & Ceiling Insulation
Power Car,Completion,Coach Build,Interior Trim/Fittings- Body Side & Ceiling Insulation
Sitter,Completion,Coach Build,Interior Trim/Fittings- Body Side & Ceiling Insulation
Sleeper,Completion,Coach Build,Interior Trim/Fittings- Body Side & Ceiling Insulation
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Interior Trim/Fittings- Body Side & Ceiling Insulation
Diner,Completion,Coach Build,Interior Trim/Fittings- Carpeting Complete
KP-1 to Car Carrier,Completion,Coach Build,Interior Trim/Fittings- Carpeting Complete
Baggage Van,Completion,Coach Build,Interior Trim/Fittings- Fit Compartment Equipment
Sleeper,Completion,Coach Build,Interior Trim/Fittings- Fit Compartment Equipment
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Interior Trim/Fittings- Fit Compartment Equipment
Diner,Completion,Coach Build,Interior Trim/Fittings- Fit Cupboard Bedding Equipment
Kitchen,Completion,Coach Build,Interior Trim/Fittings- Fit Cupboard Bedding Equipment
Sitter,Completion,Coach Build,Interior Trim/Fittings- Fit Cupboard Bedding Equipment
Sleeper,Completion,Coach Build,Interior Trim/Fittings- Fit Cupboard Bedding Equipment
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Interior Trim/Fittings- Fit Cupboard Bedding Equipment
Diner,Completion,Coach Build,Interior Trim/Fittings- Fit Cupboard Electrical Equipment
Kitchen,Completion,Coach Build,Interior Trim/Fittings- Fit Cupboard Electrical Equipment
Sitter,Completion,Coach Build,Interior Trim/Fittings- Fit Cupboard Electrical Equipment
Sleeper,Completion,Coach Build,Interior Trim/Fittings- Fit Cupboard Electrical Equipment
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Interior Trim/Fittings- Fit Cupboard Electrical Equipment
Baggage Van,Completion,Coach Build,Interior Trim/Fittings- Fit Cupboard Fire Extinguisher Equipment
Diner,Completion,Coach Build,Interior Trim/Fittings- Fit Cupboard Fire Extinguisher Equipment
Kitchen,Completion,Coach Build,Interior Trim/Fittings- Fit Cupboard Fire Extinguisher Equipment
Sitter,Completion,Coach Build,Interior Trim/Fittings- Fit Cupboard Fire Extinguisher Equipment
Sleeper,Completion,Coach Build,Interior Trim/Fittings- Fit Cupboard Fire Extinguisher Equipment
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Interior Trim/Fittings- Fit Cupboard Fire Extinguisher Equipment
Diner,Completion,Coach Build,Interior Trim/Fittings- Fit Curtains Complete With Rails
KP-1 to Car Carrier,Completion,Coach Build,Interior Trim/Fittings- Fit Curtains Complete With Rails
Diner,Completion,Coach Build,"Interior Trim/Fittings- Fit Dining Car Bar Equipment (Fridges, Ice Maker)"
Baggage Van,Completion,Coach Build,Interior Trim/Fittings- Fit Drain Casting
Kitchen,Completion,Coach Build,Interior Trim/Fittings- Fit Drain Casting
Sitter,Completion,Coach Build,Interior Trim/Fittings- Fit Drain Casting
Sleeper,Completion,Coach Build,Interior Trim/Fittings- Fit Drain Casting
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Interior Trim/Fittings- Fit Drain Casting
Baggage Van,Completion,Coach Build,Interior Trim/Fittings- Fit Formica Ceilings & Coves Complete
Diner,Completion,Coach Build,Interior Trim/Fittings- Fit Formica Ceilings & Coves Complete
Kitchen,Completion,Coach Build,Interior Trim/Fittings- Fit Formica Ceilings & Coves Complete
Sitter,Completion,Coach Build,Interior Trim/Fittings- Fit Formica Ceilings & Coves Complete
Sleeper,Completion,Coach Build,Interior Trim/Fittings- Fit Formica Ceilings & Coves Complete
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Interior Trim/Fittings- Fit Formica Ceilings & Coves Complete
Baggage Van,Completion,Coach Build,Interior Trim/Fittings- Fit Formica Comparments & Corridor - 
Sleeper,Completion,Coach Build,Interior Trim/Fittings- Fit Formica Comparments & Corridor - 
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Interior Trim/Fittings- Fit Formica Comparments & Corridor - 
Baggage Van,Completion,Coach Build,Interior Trim/Fittings- Fit Formica Side & End Panels Complete
Diner,Completion,Coach Build,Interior Trim/Fittings- Fit Formica Side & End Panels Complete
Kitchen,Completion,Coach Build,Interior Trim/Fittings- Fit Formica Side & End Panels Complete
Sitter,Completion,Coach Build,Interior Trim/Fittings- Fit Formica Side & End Panels Complete
Sleeper,Completion,Coach Build,Interior Trim/Fittings- Fit Formica Side & End Panels Complete
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Interior Trim/Fittings- Fit Formica Side & End Panels Complete
Baggage Van,Completion,Coach Build,Interior Trim/Fittings- Fit Formica Toilet Cubicle Complete
Sitter,Completion,Coach Build,Interior Trim/Fittings- Fit Formica Toilet Cubicle Complete
Sleeper,Completion,Coach Build,Interior Trim/Fittings- Fit Formica Toilet Cubicle Complete
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Interior Trim/Fittings- Fit Formica Toilet Cubicle Complete
Sleeper,Completion,Coach Build,Interior Trim/Fittings- Fit Formica/Panelling Shower Cubicle Complete
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Interior Trim/Fittings- Fit Formica/Panelling Shower Cubicle Complete
Kitchen,Completion,Coach Build,Interior Trim/Fittings- Fit Interlock Duck Board Grating
Kitchen,Completion,Coach Build,"Interior Trim/Fittings- Fit Kitchen Catering Equipment (3 X Fridges, 3 X Freezer, 1 X Oven, 1 X Hydro Boil, 1 X Griller)"
Sitter,Completion,Coach Build,Interior Trim/Fittings- Fit Passenger Parcel Racks
Sleeper,Completion,Coach Build,Interior Trim/Fittings- Fit Passenger Parcel Racks
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Interior Trim/Fittings- Fit Passenger Parcel Racks
Kitchen,Completion,Coach Build,Interior Trim/Fittings- Fit Sst Floor In Kitchen / Scullery Areas
Sitter,Completion,Coach Build,Interior Trim/Fittings -Fit Toilet Equipment
Sleeper,Completion,Coach Build,Interior Trim/Fittings -Fit Toilet Equipment
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Interior Trim/Fittings -Fit Toilet Equipment
Baggage Van,Completion,Coach Build,Interior Trim/Fittings- Guards Compartment Equipment
Diner,Completion,Coach Build,Interior Trim/Fittings- Install Corridor Equipment
Kitchen,Completion,Coach Build,Interior Trim/Fittings- Install Corridor Equipment
Sitter,Completion,Coach Build,Interior Trim/Fittings- Install Corridor Equipment
Sleeper,Completion,Coach Build,Interior Trim/Fittings- Install Corridor Equipment
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Interior Trim/Fittings- Install Corridor Equipment
Power Car,Completion,Coach Build,Interior Trim/Fittings- Louvre Set Stainless Steel
Sitter,Completion,Coach Build,Interior Trim/Fittings- Modify Toilet Compartment (Wood) To Fit  Toilet System
Sleeper,Completion,Coach Build,Interior Trim/Fittings- Modify Toilet Compartment (Wood) To Fit  Toilet System
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Interior Trim/Fittings- Modify Toilet Compartment (Wood) To Fit  Toilet System
Power Car,Completion,Coach Build,"Interior Trim/Fittings- Plate, Perforated, Aluminum (Intrior Clading)"
Sleeper,Completion,Coach Build,Interior Trim/Fittings- Rebuild Shower Compartment (Wood & Plastic Cubicle)
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Interior Trim/Fittings- Rebuild Shower Compartment (Wood & Plastic Cubicle)
Sleeper,Completion,Coach Build,Interior Trim/Fittings- Rebuild Sleeper Compartment (Wood)
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Interior Trim/Fittings- Rebuild Sleeper Compartment (Wood)
Sitter,Completion,Coach Build,Interior Trim/Fittings- Rebuild Toilet Compartment (Wood)
Sleeper,Completion,Coach Build,Interior Trim/Fittings- Rebuild Toilet Compartment (Wood)
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Interior Trim/Fittings- Rebuild Toilet Compartment (Wood)
Diner,Completion,Coach Build,Interior Trim/Fittings- Reclad Dining Car Bar Ceilings & Sides With Sst
Kitchen,Completion,Coach Build,Interior Trim/Fittings- Reclad Kitchen Ceilings & Sides With Sst
Sitter,Completion,Coach Build,Interior Trim/Fittings- Seats & Backs -  Type Sitter
Sleeper,Completion,Coach Build,Interior Trim/Fittings- Shower & Dressing Area Floor Pan - 
"Staff Book Off (Lounge, Kitchen, Sleeper)",Completion,Coach Build,Interior Trim/Fittings- Shower & Dressing Area Floor Pan - 
